Dashboard#stop;Deployer#stop;DataCollector#stop;Planner#stop;Discoverer#stop;MonitorDashboard#stop;SLAService#stop;MonitorManager#stop;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;DataCollector#re-start;SLAService#start;Planner#re-start;Dashboard#re-start
0.825;103.898;0.814;1.696;39.399;68.707;57.288;99.955;434.759;369.872;431.52;408.125;447.808;520.887;592.869;609.825
0.831;45.951;2.215;1.701;43.456;55.825;54.57;105.428;448.332;369.668;407.199;411.891;423.803;476.758;554.794;571.215
0.789;126.173;0.829;1.589;40.961;59.901;58.229;101.978;466.128;403.552;427.528;425.871;444.236;498.041;575.885;592.217
0.824;47.839;2.197;1.711;44.226;62.382;62.015;104.491;469.695;379.365;401.107;406.541;417.295;499.27;565.09;581.641
2.27;47.386;0.851;3.141;40.835;80.552;58.706;102.559;443.932;374.633;427.24;408.044;443.921;518.119;615.385;631.808
2.182;111.162;0.821;3.037;39.87;86.278;65.836;106.301;456.548;390.631;421.058;424.461;437.693;499.392;571.465;587.553
0.851;45.856;0.818;1.662;36.073;65.087;63.175;105.224;487.052;432.416;454.842;455.108;471.289;532.885;598.461;615.085
2.18;47.628;0.789;3.006;40.537;79.123;66.354;107.227;483.532;396.236;417.647;420.244;435.394;496.823;564.61;581.864
0.778;109.406;0.751;1.636;41.846;71.997;71.963;111.582;458.267;392.557;459.636;422.293;475.643;540.356;608.353;624.511
0.822;63.257;45.771;1.725;41.759;77.998;78.053;118.748;448.31;376.121;416.279;422.015;433.42;484.156;559.144;576.373
3.113;43.135;55.594;4.523;45.6;67.417;73.682;115.75;537.099;399.84;433.303;443.777;453.974;510.828;610.023;630.095
3.094;45.899;3.257;4.586;45.722;70.932;76.616;117.606;498.308;398.953;440.126;443.058;460.737;513.547;586.65;606.962
0.988;105.972;1.4;1.993;39.045;82.107;77.156;116.535;493.426;405.342;442.069;445.02;458.412;575.069;647.119;663.987
0.81;104.086;0.769;1.63;40.753;72.727;72.936;112.369;449.356;405.171;424.445;460.726;440.368;490.84;559.842;576.344
3.017;48.984;0.898;3.868;41.688;87.837;67.527;106.816;476.036;375.278;409.647;441.622;426.362;501.335;573.237;589.98
0.825;53.253;2.287;1.673;41.53;66.674;66.612;105.136;450.623;386.224;419.001;422.678;436.457;506.506;574.195;592.05
0.838;115.216;0.872;1.726;39.545;65.091;65.346;104.314;457.91;388.828;423.995;423.442;439.81;497.262;566.275;582.724
0.782;47.722;0.832;1.602;38.595;72.262;72.663;109.535;464.585;379.351;408.748;417.355;427.364;476.254;548.622;565.156
2.122;47.019;0.841;2.959;39.667;82.979;74.353;114.555;458.164;385.837;419.32;423.728;435.897;495.735;566.855;583.289
0.802;42.668;2.249;1.637;40.733;72.536;72.663;113.8;436.477;369.662;405.413;406.158;422.906;479.825;548.857;566.591
0.795;61.683;0.799;1.562;37.965;80.069;67.276;109.041;438.22;366.64;398.067;407.149;414.408;467.246;534.829;551.297
0.841;41.95;0.845;1.703;38.317;81.977;74.741;114.312;450.144;387.001;416.112;416.863;432.639;484.774;552.607;569.061
2.949;49.092;0.843;3.847;41.67;83.665;66.392;105.612;442.293;378.463;406.936;406.713;423.377;499.605;568.606;585.173
0.752;46.065;52.384;1.653;42.244;76.792;77.525;115.513;457.842;395.556;417.729;455.732;433.954;518.293;593.339;609.344
0.755;46.588;0.837;1.606;39.398;79.82;62.833;103.238;448.121;371.551;403.874;417.9;420.751;494.338;569.273;586.987
3.052;43.532;0.844;3.95;42.121;82.019;60.216;103.637;990.94;922.675;956.855;990.507;975.095;1077.492;1142.418;1160.569
0.787;109.299;0.804;1.623;36.564;80.371;64.244;103.226;447.591;383.681;410.282;416.99;427.174;492.594;570.52;587.089
0.8;48.95;3.16;1.602;52.728;71.701;72.61;112.8;450.704;384.606;413.156;419.792;429.905;496.503;565.311;581.692
3.196;45.033;0.822;4.046;41.636;84.094;77.597;115.164;451.664;384.466;421.147;421.043;437.241;494.637;562.627;578.942
0.867;44.987;2.419;1.702;41.273;76.039;75.364;118.362;457.746;388.859;419.628;425.852;445.649;491.003;608.312;631.183
0.792;43.242;3.17;1.565;41.093;65.756;65.678;106.501;438.069;371.231;404.886;412.869;421.247;550.731;622.673;639.227
2.215;44.356;0.875;3.006;42.64;68.251;67.423;132.783;473.075;406.306;435.873;435.932;452.705;501.286;570.024;586.567
0.822;103.444;0.823;1.697;38.525;63.234;64.755;105.224;440.461;361.39;405.085;407.07;421.602;480.289;558.05;574.894
0.826;47.9;2.221;1.816;39.953;64.675;64.175;105.404;440.526;377.515;402.101;412.279;418.409;469.181;541.179;557.769
2.209;45.258;0.857;3.032;43.514;81.666;80.052;119.572;452.937;398.799;416.867;427.008;433.507;482.834;550.753;567.389
0.812;44.61;0.84;1.633;37.274;78.021;64.365;102.837;443.077;388.226;405.17;413.565;421.669;491.561;566.749;583.343
2.134;49.923;2.266;3.022;49.221;83.49;60.984;104.944;440.068;394.453;415.027;440.775;431.885;518.949;587.818;604.128
0.822;45.68;0.795;1.727;38.529;65.15;64.779;102.489;451.467;376.302;417.016;414.429;433.39;488.482;553.555;570.262
2.258;49.215;2.163;3.153;45.727;79.047;72.729;110.886;450.455;379.739;418.198;416.652;434.317;495.533;567.657;584.072
0.821;53.979;3.246;1.675;42.201;64.218;64.359;104.5;509.041;436.628;482.295;475.96;498.741;554.174;625.914;642.49
0.822;44.282;3.075;1.682;42.671;81.827;82.183;123.146;463.287;393.849;432.945;434.543;448.769;507.355;578.22;594.811
0.817;44.819;2.221;1.599;42.765;70.517;70.368;112.843;448.157;380.091;413.44;445.389;429.828;507.918;578.773;595.247
0.823;45.279;3.036;1.696;41.612;79.609;78.863;117.742;461.015;388.179;421.66;451.131;437.991;520.684;600.536;617.028
0.826;48.915;2.223;1.724;41.195;73.507;73.431;111.579;448.644;383.305;418.246;418.575;434.932;517.352;586.429;602.966
0.829;44.061;22.207;1.74;43.721;80.466;66.59;107.578;446.655;383.126;411.875;415.715;428.654;501.511;566.445;583.041
2.12;42.922;2.129;2.896;42.849;79.08;66.506;107.328;473.26;375.951;410.872;425.689;427.113;489.042;553.752;570.169
0.764;106.47;0.831;1.606;39.361;77.34;76.462;118.156;456.953;386.303;407.596;412.465;423.519;482.58;553.425;569.352
