SLAService#start;Discoverer#start;MonitorDashboard#start;MonitorManager#start;Deployer#start;Dashboard#stop;Planner#stop;DataCollector#stop;SLAService#stop;SLAService#re-start;DataCollector#re-start;Planner#re-start;Dashboard#re-start;Discoverer#release;MonitorDashboard#release;MonitorManager#release;SLAService#release;Deployer#release
76.849;355.795;277.208;315.172;319.201;357.973;360.348;358.065;361.28;375.094;375.061;448.575;463.761;494.974;521.356;499.621;521.292;499.286
70.061;383.55;297.479;329.404;327.058;385.74;388.253;385.772;389.267;405.151;403.037;474.817;489.787;523.85;546.041;525.651;545.905;526.043
72.051;646.585;576.593;617.186;615.708;648.808;651.275;648.771;652.193;668.062;667.697;734.663;752.672;787.005;804.677;789.78;805.649;786.95
79.778;355.794;284.885;315.879;322.921;358.068;373.913;357.992;374.967;392.864;388.77;466.532;481.677;517.819;535.581;515.124;535.471;515.026
74.418;344.378;275.62;314.359;311.913;346.531;349.001;346.566;349.945;367.119;363.714;440.769;455.939;487.905;509.6;491.684;509.03;491.359
69.156;351.43;281.397;316.219;318.203;353.946;369.613;353.714;370.797;391.615;384.802;459.145;474.266;510.813;526.215;510.094;525.927;508.193
80.079;340.233;271.131;322.46;317.465;342.537;344.996;342.503;345.969;361.788;359.775;426.363;442.03;475.468;495.364;475.503;495.434;477.565
73.085;569.366;294.692;560.324;554.963;571.536;573.964;571.59;574.926;588.738;589.115;647.014;659.455;701.21;722.551;703.598;722.39;701.529
93.611;367.217;296.921;327.61;333.774;369.397;371.836;369.427;372.767;388.7;386.417;456.268;471.722;504.679;527.725;509.567;527.697;506.703
89.915;354.983;287.643;320.068;324.28;357.287;359.669;357.246;360.679;375.52;377.743;442.959;458.048;495.756;511.691;492.318;511.547;495.323
70.042;364.912;290.476;328.055;326.505;367.25;369.617;367.142;370.629;390.457;384.494;452.024;460.641;506.725;525.592;504.86;525.741;506.875
73.477;346.72;271.044;308.848;317.653;348.915;351.437;349.001;352.402;367.244;366.375;440.708;455.74;489.503;533.708;491.25;533.22;491.36
65.402;350.449;288.356;301.449;306.511;352.604;354.964;352.731;356.075;371.915;371.788;438.25;453.221;488.203;510.097;488.433;508.754;490.099
75.624;338.86;270.761;303.461;316.738;340.984;343.409;340.996;344.38;361.273;357.737;422.612;437.355;472.215;494.516;472.046;493.132;472.007
